gates,n_gates,sizes,seed_offset,perfect_circuits,loss_target,learning_rate,depth,weights,l1_lambda,l2_lambda,dropout_rate
XOR,1,3,0,[67],0.01,0.001,2,,0.0,0.0005,0.0
XOR,1,3,1,[85],0.01,0.001,2,,0.0,0.0005,0.0
XOR,1,3,2,[72],0.01,0.001,2,,0.0,0.0005,0.0
XOR,1,3,3,[114],0.01,0.001,2,,0.0,0.0005,0.0
XOR,1,3,4,[34],0.01,0.001,2,,0.0,0.0005,0.0
XOR,1,3,6,[17],0.01,0.001,2,,0.0,0.0005,0.0
XOR,1,3,7,[61],0.01,0.001,2,,0.0,0.0005,0.0
XOR,1,3,8,[52],0.01,0.001,2,,0.0,0.0005,0.0
XOR,1,3,9,[11],0.01,0.001,2,,0.0,0.0005,0.0
XOR,1,3,10,[167],0.01,0.001,2,,0.0,0.0005,0.0
XOR,1,3,11,[79],0.01,0.001,2,,0.0,0.0005,0.0
XOR,1,3,12,[15],0.01,0.001,2,,0.0,0.0005,0.0
XOR,1,3,14,[26],0.01,0.001,2,,0.0,0.0005,0.0
XOR,1,3,15,[111],0.01,0.001,2,,0.0,0.0005,0.0
XOR,1,3,16,[60],0.01,0.001,2,,0.0,0.0005,0.0
XOR,1,3,17,[45],0.01,0.001,2,,0.0,0.0005,0.0
XOR,1,3,18,[48],0.01,0.001,2,,0.0,0.0005,0.0
XOR,1,3,19,[15],0.01,0.001,2,,0.0,0.0005,0.0
XOR,1,3,21,[39],0.01,0.001,2,,0.0,0.0005,0.0
XOR,1,3,22,[64],0.01,0.001,2,,0.0,0.0005,0.0
XOR,1,3,23,[141],0.01,0.001,2,,0.0,0.0005,0.0
XOR,1,3,25,[85],0.01,0.001,2,,0.0,0.0005,0.0
XOR,1,3,26,[28],0.01,0.001,2,,0.0,0.0005,0.0
XOR,1,3,27,[50],0.01,0.001,2,,0.0,0.0005,0.0
XOR,1,3,28,[23],0.01,0.001,2,,0.0,0.0005,0.0
XOR,1,3,29,[24],0.01,0.001,2,,0.0,0.0005,0.0
XOR,1,3,30,[12],0.01,0.001,2,,0.0,0.0005,0.0
XOR,1,3,32,[103],0.01,0.001,2,,0.0,0.0005,0.0
XOR,1,3,33,[12],0.01,0.001,2,,0.0,0.0005,0.0
XOR,1,3,36,[29],0.01,0.001,2,,0.0,0.0005,0.0
XOR,1,3,37,[5],0.01,0.001,2,,0.0,0.0005,0.0
XOR,1,3,38,[15],0.01,0.001,2,,0.0,0.0005,0.0
XOR,1,3,39,[35],0.01,0.001,2,,0.0,0.0005,0.0
XOR,1,3,41,[39],0.01,0.001,2,,0.0,0.0005,0.0
XOR,1,3,42,[12],0.01,0.001,2,,0.0,0.0005,0.0
