epoch,circuit_counts,avg_sparsities,total_circuits,train_loss,val_loss,l1_lambda,l2_lambda,dropout_rate
1,[0],[0.0],0,0.5605081409215927,0.5040116310119629,0.001,0.0,0.0
2,[0],[0.0],0,0.4440002053976059,0.40600094199180603,0.001,0.0,0.0
3,[0],[0.0],0,0.3625418893992901,0.34404489398002625,0.001,0.0,0.0
4,[0],[0.0],0,0.31095668524503706,0.3038628399372101,0.001,0.0,0.0
5,[0],[0.0],0,0.2794751189649105,0.27696943283081055,0.001,0.0,0.0
6,[0],[0.0],0,0.2616273444145918,0.2582882046699524,0.001,0.0,0.0
7,[0],[0.0],0,0.2511308237910271,0.24699674546718597,0.001,0.0,0.0
8,[0],[0.0],0,0.24497682079672814,0.2387770712375641,0.001,0.0,0.0
9,[0],[0.0],0,0.23969636410474776,0.2311529666185379,0.001,0.0,0.0
10,[0],[0.0],0,0.23437040001153947,0.22358624637126923,0.001,0.0,0.0
11,[0],[0.0],0,0.22872296534478664,0.2156759798526764,0.001,0.0,0.0
12,[18],[np.float64(0.21296296296296294)],18,0.22262329310178758,0.20703010261058807,0.001,0.0,0.0
13,[18],[np.float64(0.21296296296296294)],18,0.21609605252742767,0.19847124814987183,0.001,0.0,0.0
14,[18],[np.float64(0.21296296296296294)],18,0.20902170576155185,0.1891060173511505,0.001,0.0,0.0
15,[24],[np.float64(0.20138888888888887)],24,0.20137441158294678,0.17917627096176147,0.001,0.0,0.0
16,[38],[np.float64(0.19736842105263164)],38,0.1930645816028118,0.16887596249580383,0.001,0.0,0.0
17,[40],[np.float64(0.1958333333333333)],40,0.18412636853754522,0.15768955647945404,0.001,0.0,0.0
18,[48],[np.float64(0.19444444444444442)],48,0.1744423758238554,0.14596782624721527,0.001,0.0,0.0
19,[48],[np.float64(0.19444444444444442)],48,0.1641494996845722,0.13377325236797333,0.001,0.0,0.0
20,[52],[np.float64(0.19230769230769224)],52,0.1537354752421379,0.12238764762878418,0.001,0.0,0.0
21,[56],[np.float64(0.19047619047619047)],56,0.1438369072973728,0.11136084049940109,0.001,0.0,0.0
22,[56],[np.float64(0.19047619047619047)],56,0.1338058879598975,0.10047372430562973,0.001,0.0,0.0
23,[56],[np.float64(0.19047619047619047)],56,0.1239172013476491,0.09022706001996994,0.001,0.0,0.0
24,[56],[np.float64(0.19047619047619047)],56,0.11392043866217136,0.08045318722724915,0.001,0.0,0.0
25,[56],[np.float64(0.19047619047619047)],56,0.1036285974085331,0.06974083185195923,0.001,0.0,0.0
26,[56],[np.float64(0.19047619047619047)],56,0.09106848426163197,0.05718862637877464,0.001,0.0,0.0
