epoch,circuit_counts,avg_sparsities,total_circuits,train_loss,val_loss,l1_lambda,l2_lambda,dropout_rate
1,[0],[0.0],0,0.3531379245221615,0.3621126711368561,0.0,0.0001,0.0
2,[0],[0.0],0,0.3033223018050194,0.28995800018310547,0.0,0.0001,0.0
3,[0],[0.0],0,0.2699598353356123,0.2576321065425873,0.0,0.0001,0.0
4,[0],[0.0],0,0.25712558478116987,0.24726150929927826,0.0,0.0001,0.0
5,[0],[0.0],0,0.24825665578246117,0.24060598015785217,0.0,0.0001,0.0
6,[0],[0.0],0,0.23971457108855249,0.23502616584300995,0.0,0.0001,0.0
7,[0],[0.0],0,0.23213037960231303,0.22914829850196838,0.0,0.0001,0.0
8,[0],[0.0],0,0.22522773295640947,0.22361993789672852,0.0,0.0001,0.0
9,[0],[0.0],0,0.21815078966319562,0.21844947338104248,0.0,0.0001,0.0
10,[0],[0.0],0,0.21043764241039753,0.21252278983592987,0.0,0.0001,0.0
11,[0],[0.0],0,0.20192194879055023,0.20414896309375763,0.0,0.0001,0.0
12,[0],[0.0],0,0.19230847358703612,0.19690650701522827,0.0,0.0001,0.0
13,[0],[0.0],0,0.18107812255620956,0.18542702496051788,0.0,0.0001,0.0
14,[0],[0.0],0,0.1676853161305189,0.17049066722393036,0.0,0.0001,0.0
15,[0],[0.0],0,0.15158958733081818,0.15383155643939972,0.0,0.0001,0.0
16,[5],[np.float64(0.16666666666666666)],5,0.13200209215283393,0.13051320612430573,0.0,0.0001,0.0
17,[16],[np.float64(0.16666666666666666)],16,0.10947665609419346,0.10923395305871964,0.0,0.0001,0.0
18,[21],[np.float64(0.17460317460317457)],21,0.09109941385686397,0.09320326894521713,0.0,0.0001,0.0
19,[40],[np.float64(0.175)],40,0.07694576177746057,0.08058712631464005,0.0,0.0001,0.0
20,[38],[np.float64(0.17105263157894743)],38,0.06562066143378616,0.06854312866926193,0.0,0.0001,0.0
21,[25],[np.float64(0.16666666666666669)],25,0.0559491828083992,0.057387884706258774,0.0,0.0001,0.0
22,[25],[np.float64(0.16666666666666669)],25,0.0472428310662508,0.04701925069093704,0.0,0.0001,0.0
23,[21],[np.float64(0.16666666666666663)],21,0.03923211442306638,0.03776891157031059,0.0,0.0001,0.0
24,[22],[np.float64(0.16666666666666663)],22,0.032005715742707254,0.029828233644366264,0.0,0.0001,0.0
25,[17],[np.float64(0.16666666666666666)],17,0.02590961097739637,0.023221230134367943,0.0,0.0001,0.0
26,[17],[np.float64(0.16666666666666666)],17,0.02080238270573318,0.018029602244496346,0.0,0.0001,0.0
27,[17],[np.float64(0.16666666666666666)],17,0.016670532547868787,0.013994566164910793,0.0,0.0001,0.0
28,[17],[np.float64(0.16666666666666666)],17,0.013362833438441158,0.010822347365319729,0.0,0.0001,0.0
29,[17],[np.float64(0.16666666666666666)],17,0.010718082450330258,0.00839894451200962,0.0,0.0001,0.0
30,[13],[np.float64(0.16666666666666666)],13,0.008617402508389205,0.0064776139333844185,0.0,0.0001,0.0
