epoch,circuit_counts,avg_sparsities,total_circuits,train_loss,val_loss,l1_lambda,l2_lambda,dropout_rate
1,[0],[0.0],0,0.24125692211091518,0.24367283284664154,0.0,0.0,0.0
2,[0],[0.0],0,0.23662625886499883,0.2406132072210312,0.0,0.0,0.0
3,[0],[0.0],0,0.2310514200478792,0.23663488030433655,0.0,0.0,0.0
4,[0],[0.0],0,0.2239843986928463,0.23050200939178467,0.0,0.0,0.0
5,[0],[0.0],0,0.21525675654411316,0.22344985604286194,0.0,0.0,0.0
6,[26],[np.float64(0.19230769230769232)],26,0.20528884641826153,0.21633563935756683,0.0,0.0,0.0
7,[0],[0.0],0,0.1948754508048296,0.21161937713623047,0.0,0.0,0.0
8,[0],[0.0],0,0.18607015237212182,0.2068396359682083,0.0,0.0,0.0
9,[0],[0.0],0,0.17854414582252504,0.20061054825782776,0.0,0.0,0.0
10,[0],[0.0],0,0.1718235842883587,0.19465471804141998,0.0,0.0,0.0
11,[9],[np.float64(0.2592592592592593)],9,0.16008445248007774,0.1755644530057907,0.0,0.0,0.0
12,[8],[np.float64(0.2708333333333333)],8,0.14305157605558633,0.15833257138729095,0.0,0.0,0.0
13,[9],[np.float64(0.24074074074074073)],9,0.12373479176312685,0.12878742814064026,0.0,0.0,0.0
14,[17],[np.float64(0.21568627450980388)],17,0.10128456689417362,0.10083424299955368,0.0,0.0,0.0
15,[15],[np.float64(0.22222222222222215)],15,0.07755242194980383,0.0752522349357605,0.0,0.0,0.0
16,[15],[np.float64(0.22222222222222215)],15,0.054896697588264945,0.050813354551792145,0.0,0.0,0.0
17,[14],[np.float64(0.20238095238095233)],14,0.035302162636071444,0.030171627178788185,0.0,0.0,0.0
18,[14],[np.float64(0.20238095238095233)],14,0.020288200303912162,0.01636955514550209,0.0,0.0,0.0
19,[14],[np.float64(0.20238095238095233)],14,0.010216969135217368,0.007510892581194639,0.0,0.0,0.0
20,[14],[np.float64(0.20238095238095233)],14,0.004457832698244601,0.0029194585513323545,0.0,0.0,0.0
