epoch,circuit_counts,avg_sparsities,total_circuits,train_loss,val_loss,l1_lambda,l2_lambda,dropout_rate
1,[0],[0.0],0,1.0478749841451644,0.9046707153320312,0.0,0.0,0.0
2,[0],[0.0],0,0.9610542818903923,0.8323479890823364,0.0,0.0,0.0
3,[0],[0.0],0,0.890359728038311,0.7709206938743591,0.0,0.0,0.0
4,[0],[0.0],0,0.8280259132385254,0.7159953117370605,0.0,0.0,0.0
5,[0],[0.0],0,0.7715966567397118,0.6664578914642334,0.0,0.0,0.0
6,[0],[0.0],0,0.7201528772711754,0.6210234761238098,0.0,0.0,0.0
7,[0],[0.0],0,0.672574707865715,0.5789708495140076,0.0,0.0,0.0
8,[0],[0.0],0,0.628299529850483,0.5406807661056519,0.0,0.0,0.0
9,[0],[0.0],0,0.5875795267522335,0.5053364038467407,0.0,0.0,0.0
10,[0],[0.0],0,0.5501010730862618,0.4728342592716217,0.0,0.0,0.0
11,[0],[0.0],0,0.5155479170382022,0.44341984391212463,0.0,0.0,0.0
12,[0],[0.0],0,0.4839469440281391,0.4165967106819153,0.0,0.0,0.0
13,[0],[0.0],0,0.4549526944756508,0.3923898935317993,0.0,0.0,0.0
14,[0],[0.0],0,0.4284837365150452,0.37031832337379456,0.0,0.0,0.0
15,[0],[0.0],0,0.4041373074054718,0.3501715362071991,0.0,0.0,0.0
16,[0],[0.0],0,0.3817360021173954,0.3322427570819855,0.0,0.0,0.0
17,[0],[0.0],0,0.36149380430579187,0.31598740816116333,0.0,0.0,0.0
18,[0],[0.0],0,0.34302736148238183,0.30119916796684265,0.0,0.0,0.0
19,[0],[0.0],0,0.32585124522447584,0.2874412536621094,0.0,0.0,0.0
20,[0],[0.0],0,0.3093836508691311,0.27371999621391296,0.0,0.0,0.0
21,[0],[0.0],0,0.2925791013985872,0.25893017649650574,0.0,0.0,0.0
22,[0],[0.0],0,0.27486156597733497,0.243534117937088,0.0,0.0,0.0
23,[0],[0.0],0,0.25754373259842395,0.22920726239681244,0.0,0.0,0.0
24,[0],[0.0],0,0.2417560987174511,0.21718482673168182,0.0,0.0,0.0
25,[0],[0.0],0,0.22814757153391838,0.20691059529781342,0.0,0.0,0.0
26,[0],[0.0],0,0.21600296199321747,0.19800662994384766,0.0,0.0,0.0
27,[0],[0.0],0,0.20518922992050648,0.1900528371334076,0.0,0.0,0.0
28,[0],[0.0],0,0.1954635873436928,0.1831546127796173,0.0,0.0,0.0
29,[0],[0.0],0,0.18680171631276607,0.17705081403255463,0.0,0.0,0.0
30,[0],[0.0],0,0.17910144105553627,0.17164605855941772,0.0,0.0,0.0
31,[0],[0.0],0,0.17221952676773072,0.16702298820018768,0.0,0.0,0.0
32,[0],[0.0],0,0.16611978895962237,0.1627539098262787,0.0,0.0,0.0
33,[16],[np.float64(0.16666666666666666)],16,0.16063635274767876,0.15906007587909698,0.0,0.0,0.0
34,[11],[np.float64(0.16666666666666669)],11,0.15571378767490388,0.15565328299999237,0.0,0.0,0.0
35,[14],[np.float64(0.16666666666666666)],14,0.15127171613276005,0.15262027084827423,0.0,0.0,0.0
36,[0],[0.0],0,0.14745720159262418,0.1503339260816574,0.0,0.0,0.0
37,[0],[0.0],0,0.144234986230731,0.14834991097450256,0.0,0.0,0.0
38,[0],[0.0],0,0.1414775287732482,0.14661477506160736,0.0,0.0,0.0
39,[0],[0.0],0,0.13895820323377847,0.14500854909420013,0.0,0.0,0.0
40,[0],[0.0],0,0.1367233455181122,0.14354658126831055,0.0,0.0,0.0
41,[0],[0.0],0,0.13469151128083467,0.1421186476945877,0.0,0.0,0.0
42,[0],[0.0],0,0.1327984297648072,0.1407642811536789,0.0,0.0,0.0
43,[0],[0.0],0,0.13101729582995175,0.13936488330364227,0.0,0.0,0.0
44,[0],[0.0],0,0.12929583042860032,0.13798321783542633,0.0,0.0,0.0
45,[0],[0.0],0,0.12763881180435419,0.13650529086589813,0.0,0.0,0.0
46,[0],[0.0],0,0.12597362771630288,0.1350676268339157,0.0,0.0,0.0
47,[0],[0.0],0,0.12435371801257133,0.13347700238227844,0.0,0.0,0.0
48,[0],[0.0],0,0.12267653550952673,0.13191281259059906,0.0,0.0,0.0
49,[0],[0.0],0,0.12099586315453052,0.13020332157611847,0.0,0.0,0.0
50,[0],[0.0],0,0.11928811650723219,0.12844054400920868,0.0,0.0,0.0
51,[0],[0.0],0,0.11755921449512244,0.12664513289928436,0.0,0.0,0.0
52,[0],[0.0],0,0.11576919816434383,0.12471263855695724,0.0,0.0,0.0
53,[0],[0.0],0,0.11395233888179064,0.12278319895267487,0.0,0.0,0.0
54,[0],[0.0],0,0.11207778546959161,0.12073057889938354,0.0,0.0,0.0
55,[0],[0.0],0,0.11017060652375221,0.11863825470209122,0.0,0.0,0.0
56,[0],[0.0],0,0.108185451105237,0.11648404598236084,0.0,0.0,0.0
57,[16],[np.float64(0.16666666666666666)],16,0.10618642419576645,0.11427624523639679,0.0,0.0,0.0
58,[16],[np.float64(0.16666666666666666)],16,0.10410852693021297,0.11194582283496857,0.0,0.0,0.0
59,[16],[np.float64(0.16666666666666666)],16,0.10197216290980578,0.10962016880512238,0.0,0.0,0.0
