,gates,n_gates,sizes,seed_offset,perfect_circuits,loss_target,learning_rate,depth,weights,l1_lambda,l2_lambda,dropout_rate,detailed_circuits_file
0,XOR,1,3,0,[15],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed0_baseline.json
1,XOR,1,3,1,[102],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed1_baseline.json
2,XOR,1,3,2,[85],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed2_baseline.json
3,XOR,1,3,3,[114],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed3_baseline.json
4,XOR,1,3,4,[52],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed4_baseline.json
5,XOR,1,3,5,[26],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed5_baseline.json
6,XOR,1,3,6,[10],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed6_baseline.json
7,XOR,1,3,8,[34],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed8_baseline.json
8,XOR,1,3,9,[13],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed9_baseline.json
9,XOR,1,3,10,[35],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed10_baseline.json
10,XOR,1,3,11,[89],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed11_baseline.json
11,XOR,1,3,12,[16],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed12_baseline.json
12,XOR,1,3,13,[90],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed13_baseline.json
13,XOR,1,3,14,[26],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed14_baseline.json
14,XOR,1,3,15,[66],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed15_baseline.json
15,XOR,1,3,16,[56],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed16_baseline.json
