epoch,circuit_counts,avg_sparsities,total_circuits,train_loss,val_loss,l1_lambda,l2_lambda,dropout_rate
1,[0],[0.0],0,0.4557227469980717,0.4028119742870331,0.001,0.0,0.0
2,[0],[0.0],0,0.3765861622989178,0.3322407901287079,0.001,0.0,0.0
3,[0],[0.0],0,0.30956458300352097,0.2777438163757324,0.001,0.0,0.0
4,[0],[0.0],0,0.2618910662829876,0.24376928806304932,0.001,0.0,0.0
5,[16],[np.float64(0.1875)],16,0.23682121485471724,0.23110413551330566,0.001,0.0,0.0
6,[15],[np.float64(0.17777777777777773)],15,0.228293851390481,0.22551126778125763,0.001,0.0,0.0
7,[15],[np.float64(0.17777777777777773)],15,0.22246461696922779,0.22022008895874023,0.001,0.0,0.0
8,[15],[np.float64(0.17777777777777773)],15,0.21722803004086016,0.2154267281293869,0.001,0.0,0.0
9,[30],[np.float64(0.17777777777777784)],30,0.211895714327693,0.21036934852600098,0.001,0.0,0.0
10,[30],[np.float64(0.17777777777777784)],30,0.20630428716540336,0.20495334267616272,0.001,0.0,0.0
11,[30],[np.float64(0.17777777777777784)],30,0.20043437406420708,0.1994650810956955,0.001,0.0,0.0
12,[30],[np.float64(0.17777777777777784)],30,0.19454320073127745,0.1938031017780304,0.001,0.0,0.0
13,[0],[0.0],0,0.18837234415113926,0.18795089423656464,0.001,0.0,0.0
14,[0],[0.0],0,0.18194773979485035,0.18117888271808624,0.001,0.0,0.0
15,[0],[0.0],0,0.17422875426709653,0.17326846718788147,0.001,0.0,0.0
16,[16],[np.float64(0.1875)],16,0.1659701555967331,0.16498033702373505,0.001,0.0,0.0
17,[32],[np.float64(0.1875)],32,0.15748012959957122,0.155496746301651,0.001,0.0,0.0
18,[32],[np.float64(0.1875)],32,0.1473087377846241,0.14255234599113464,0.001,0.0,0.0
19,[36],[np.float64(0.18518518518518523)],36,0.13321706615388393,0.12398669868707657,0.001,0.0,0.0
20,[12],[np.float64(0.16666666666666666)],12,0.1136987864971161,0.09962303191423416,0.001,0.0,0.0
21,[50],[np.float64(0.17999999999999997)],50,0.0891080565750599,0.06840746104717255,0.001,0.0,0.0
22,[82],[np.float64(0.18699186991869918)],82,0.05842132531106472,0.0345924012362957,0.001,0.0,0.0
23,[76],[np.float64(0.18859649122807015)],76,0.031345470901578666,0.010832401923835278,0.001,0.0,0.0
24,[78],[np.float64(0.19230769230769226)],78,0.016853248002007604,0.002041081665083766,0.001,0.0,0.0
25,[75],[np.float64(0.1933333333333333)],75,0.012823336338624359,0.0003252102469559759,0.001,0.0,0.0
26,[72],[np.float64(0.19444444444444445)],72,0.012202937924303114,7.09996820660308e-05,0.001,0.0,0.0
27,[72],[np.float64(0.19444444444444445)],72,0.012120877159759402,3.136698069283739e-05,0.001,0.0,0.0
28,[72],[np.float64(0.19444444444444445)],72,0.012100758333690464,2.3069487724569626e-05,0.001,0.0,0.0
29,[74],[np.float64(0.19369369369369369)],74,0.012087710993364453,2.208990372309927e-05,0.001,0.0,0.0
30,[75],[np.float64(0.1933333333333333)],75,0.012075340049341321,2.1125904822838493e-05,0.001,0.0,0.0
31,[77],[np.float64(0.1926406926406926)],77,0.01206298868637532,2.1753068722318858e-05,0.001,0.0,0.0
32,[77],[np.float64(0.1926406926406926)],77,0.012050366983748973,2.1110938178026117e-05,0.001,0.0,0.0
33,[77],[np.float64(0.1926406926406926)],77,0.012037382158450783,2.0215344193275087e-05,0.001,0.0,0.0
34,[80],[np.float64(0.19166666666666668)],80,0.012024109438061713,2.1158823074074462e-05,0.001,0.0,0.0
35,[80],[np.float64(0.19166666666666668)],80,0.012010635458864272,2.0490222595981322e-05,0.001,0.0,0.0
36,[80],[np.float64(0.19166666666666668)],80,0.011996912583708764,2.2594211259274743e-05,0.001,0.0,0.0
37,[80],[np.float64(0.19166666666666668)],80,0.01198368587065488,2.1047080736025237e-05,0.001,0.0,0.0
38,[80],[np.float64(0.19166666666666668)],80,0.01197022085543722,2.1002702851546928e-05,0.001,0.0,0.0
