gates,n_gates,sizes,seed_offset,perfect_circuits,loss_target,learning_rate,depth,weights,l1_lambda,l2_lambda,dropout_rate,detailed_circuits_file
XOR,1,3,0,[103],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed0_l1_0.001.json
XOR,1,3,1,[85],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed1_l1_0.001.json
XOR,1,3,3,[85],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed3_l1_0.001.json
XOR,1,3,6,[24],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed6_l1_0.001.json
XOR,1,3,7,[85],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed7_l1_0.001.json
XOR,1,3,8,[32],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed8_l1_0.001.json
XOR,1,3,9,[72],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed9_l1_0.001.json
XOR,1,3,11,[30],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed11_l1_0.001.json
XOR,1,3,12,[15],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed12_l1_0.001.json
XOR,1,3,14,[26],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed14_l1_0.001.json
XOR,1,3,16,[24],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed16_l1_0.001.json
XOR,1,3,18,[30],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed18_l1_0.001.json
XOR,1,3,19,[26],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed19_l1_0.001.json
XOR,1,3,20,[167],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed20_l1_0.001.json
XOR,1,3,21,[52],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed21_l1_0.001.json
XOR,1,3,22,[30],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed22_l1_0.001.json
XOR,1,3,23,[167],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed23_l1_0.001.json
XOR,1,3,25,[85],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed25_l1_0.001.json
XOR,1,3,28,[92],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed28_l1_0.001.json
XOR,1,3,29,[78],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed29_l1_0.001.json
XOR,1,3,30,[13],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed30_l1_0.001.json
XOR,1,3,31,[32],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed31_l1_0.001.json
XOR,1,3,32,[85],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed32_l1_0.001.json
XOR,1,3,33,[85],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed33_l1_0.001.json
XOR,1,3,37,[52],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed37_l1_0.001.json
XOR,1,3,39,[79],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed39_l1_0.001.json
XOR,1,3,40,[85],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed40_l1_0.001.json
XOR,1,3,42,[85],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed42_l1_0.001.json
XOR,1,3,43,[85],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed43_l1_0.001.json
XOR,1,3,44,[60],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed44_l1_0.001.json
XOR,1,3,45,[44],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed45_l1_0.001.json
XOR,1,3,46,[52],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed46_l1_0.001.json
XOR,1,3,48,[52],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed48_l1_0.001.json
XOR,1,3,49,[52],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed49_l1_0.001.json
XOR,1,3,50,[85],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed50_l1_0.001.json
XOR,1,3,51,[32],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed51_l1_0.001.json
XOR,1,3,52,[85],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed52_l1_0.001.json
XOR,1,3,53,[52],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed53_l1_0.001.json
XOR,1,3,54,[52],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed54_l1_0.001.json
XOR,1,3,55,[85],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed55_l1_0.001.json
XOR,1,3,56,[26],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed56_l1_0.001.json
XOR,1,3,57,[39],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed57_l1_0.001.json
XOR,1,3,59,[78],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed59_l1_0.001.json
XOR,1,3,60,[85],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed60_l1_0.001.json
XOR,1,3,61,[85],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed61_l1_0.001.json
XOR,1,3,62,[16],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed62_l1_0.001.json
XOR,1,3,64,[60],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed64_l1_0.001.json
XOR,1,3,65,[85],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed65_l1_0.001.json
XOR,1,3,66,[76],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed66_l1_0.001.json
XOR,1,3,67,[85],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed67_l1_0.001.json
